Date,Close,High,Low,Open,Volume
2020-01-02,27.677490234375,27.68693520256151,27.242227521378954,27.413928462629478,20329000
2020-01-03,26.973512649536133,27.472306171367553,26.96406931938587,27.258536817378207,22870000
2020-01-06,26.933170318603516,26.95034090829665,26.58203945552342,26.686777432687453,20789000
2020-01-07,26.840444564819336,27.178698217891917,26.806963069711745,27.06451529935387,18565000
2020-01-08,26.505632400512695,26.91342488860406,26.477300764535084,26.869640377310255,31979000
2020-01-09,26.292715072631836,26.870492333376095,26.017134219018036,26.812972673699736,42397000
2020-01-10,25.688325881958008,26.231761979390292,25.652266997256113,26.223176686601953,40705000
2020-01-13,25.856595993041992,26.0815247949051,25.72696018583118,25.75700953276587,22054000
2020-01-14,26.457551956176758,26.54082749979916,25.89179373738641,25.9269929486045,28911000
2020-01-15,26.024864196777344,26.43179862272439,25.81538826041304,26.382864247520672,22733000
2020-01-16,26.36054229736328,26.430081051310967,26.116725183244025,26.184547860846852,21508000
2020-01-17,26.50992202758789,26.52279914970243,26.10470532527968,26.498760981767358,26896000
2020-01-21,26.448104858398438,26.571731106753067,26.298724369744445,26.424926369624433,21967000
2020-01-22,26.8687801361084,27.293741541109686,26.656726815204326,26.682482696937917,29264000
2020-01-23,27.4422664642334,27.455143587510992,26.684202792708664,27.05851214328123,30266000
2020-01-24,27.815717697143555,28.466467601247594,27.538417444859007,28.373747079443948,55782000
2020-01-27,26.530529022216797,27.462013034007086,26.497047518930227,27.164110019876926,38843000
2020-01-28,27.327220916748047,27.406204632104544,26.85160746087841,26.916854379549395,23166000
2020-01-29,27.258541107177734,27.93848063472643,27.226777322353225,27.542708919243164,23668000
2020-01-30,27.060224533081055,27.08769648815764,26.49274862013083,26.984674609773936,21128000
2020-01-31,26.198286056518555,27.007001814471003,26.066074484427336,26.970944559576356,22123000
2020-02-03,26.20429229736328,26.321907380060946,26.067788913902433,26.238631834017365,21288000
2020-02-04,26.75116539001465,27.006143561862643,26.58375624005349,26.767477940896068,22559000
2020-02-05,27.24738311767578,27.45600101255491,27.11688926923771,27.257684487957917,24825000
2020-02-06,27.445693969726562,27.462006517121743,26.976948122517907,27.372721437893702,22683000
2020-02-07,27.062803268432617,27.345251742748694,27.031895882771327,27.328082792356184,15883000
2020-02-10,26.974376678466797,27.008716217319687,26.63955839663343,26.817268907962756,19218000
2020-02-11,27.486045837402344,27.540131713252233,27.12976515978978,27.1847107112322,15527000
2020-02-12,27.875812530517578,27.909292393275358,27.612247444448574,27.647446658468006,15310000
2020-02-13,27.813133239746094,27.94105294380467,27.553864954769,27.599363890982154,13857000
2020-02-14,27.280864715576172,27.9616623191096,27.223343409493523,27.88783173812991,19137000
2020-02-18,26.678192138671875,27.04391617932948,26.446394104467508,27.043058141140726,26693000
2020-02-19,27.102296829223633,27.200167224204474,26.759751265529456,26.871356822100743,20525000
2020-02-20,26.548551559448242,27.102290662639874,26.280696319649206,26.953768208763115,25521000
2020-02-21,26.14162254333496,26.56658395261134,25.951891312186792,26.48502611585057,24522000
2020-02-24,25.034137725830078,25.65226399700079,24.90192783480251,25.257350399788745,36849000
2020-02-25,24.268360137939453,25.388715938820944,24.130140631902574,25.249636756908348,31892000
2020-02-26,24.54306983947754,24.742244351401627,24.381670283902995,24.411717986404803,23074000
2020-02-27,23.518871307373047,24.494137955391835,23.483672098745295,24.06402510966079,34837000
2020-02-28,23.40468978881836,23.53432558688911,22.556483128836337,22.60713521227564,44586000
2020-03-02,24.46495246887207,24.50186939732998,23.278492003800757,23.760116687748894,31976000
2020-03-03,23.54463005065918,24.766289755232247,23.314549731021057,24.437481007436915,29930000
2020-03-04,24.50615882873535,24.52933895684073,23.589269811263982,23.82707735891075,23477000
2020-03-05,23.526594161987305,24.30354586220128,23.39009244604602,23.80303465798572,24374000
2020-03-06,23.132543563842773,23.2596036149109,22.53587958538792,22.920491891012418,30169000
2020-03-09,21.267004013061523,22.344434718797647,20.969101010497376,21.555463683011737,43934000
2020-03-10,22.570219039916992,22.63718203150858,20.89612460040123,22.028499016043607,55071000
2020-03-11,21.116762161254883,22.019914360711756,20.818001167085157,21.795843615084465,36030000
2020-03-12,18.782474517822266,20.84117965563565,18.571280893086946,19.487310213352952,64281000
2020-03-13,20.108013153076172,20.12947556615935,17.2697789110809,19.360251022420925,84714000
2020-03-16,16.103919982910156,18.784186299330223,15.472916642118008,17.87245065279062,76935000
2020-03-17,17.128128051757812,17.171052883881188,15.580235418709066,16.467933195351343,70662000
2020-03-18,14.411803245544434,16.095339550355153,13.36442115698101,15.939091462368989,98993000
2020-03-19,16.6937198638916,17.811499466261566,14.165409209418938,14.39205570437037,74438000
2020-03-20,16.782777786254883,18.219904543316364,16.406470789970307,17.636672663285704,74044000
2020-03-23,16.89192008972168,17.11019579116301,15.519402039416368,16.840407010859035,46921000
2020-03-24,18.57612419128418,19.09562113870322,17.574676387436092,17.954475431241303,62970000
2020-03-25,18.99435043334961,21.30370770888273,18.26705731588374,18.5263679514923,64442000
2020-03-26,21.231233596801758,21.373549401562506,19.734736922181828,19.734736922181828,60213000
2020-03-27,20.141603469848633,21.136939870176615,20.08135917915137,20.343289284928947,39448000
2020-03-30,20.96406364440918,21.073201455850715,19.94515319666086,20.273439253867473,52343000
2020-03-31,20.701257705688477,22.06417131107334,20.610456638827927,20.779837057194793,50191000
2020-04-01,19.525192260742188,20.466395997203367,19.18031636837709,19.905864010574852,41858000
2020-04-02,20.69776725769043,20.77547399279548,19.33485520510951,19.4177993428528,45049000
2020-04-03,20.453296661376953,21.17709727457828,20.12937542862847,20.66109411973332,28960000
2020-04-06,22.040597915649414,22.125288960343532,21.265284174790796,21.354339999022102,38868000
2020-04-07,22.113065719604492,23.180869655554666,22.048456657117267,22.861314834521824,45892000
2020-04-08,22.79670524597168,22.89274538198006,22.145370572470956,22.41865139644222,27565000
2020-04-09,22.202999114990234,23.35549426655358,21.941941627273312,23.206194136762655,34828000
2020-04-13,22.69368553161621,22.8333818282181,22.072036512144436,22.13315343374386,25729000
2020-04-14,23.366844177246094,23.432325869884775,22.90322659922085,23.235004838398684,23094000
2020-04-15,22.47715187072754,22.903226679750492,22.36539451647052,22.787977168377783,25926000
2020-04-16,22.551372528076172,22.854339304830418,22.186414533561727,22.854339304830418,26896000
2020-04-17,23.214052200317383,23.349383707751887,22.60811876071744,22.981807912778883,34089000
2020-04-20,22.550491333007812,23.159916857922923,22.518187631897828,22.70066574061151,23801000
2020-04-21,21.622385025024414,22.245780884713614,21.548172104510044,22.22569889906415,29138000
2020-04-22,22.698049545288086,22.89449797615577,21.89217549986251,22.244035764018584,35438000
2020-04-23,22.60724449157715,23.15468050792052,22.571446966541885,22.72249400393249,21659000
2020-04-24,23.120628356933594,23.143328209525418,22.6028782087159,22.684077101865682,23373000
2020-04-27,23.438434600830078,23.68028435178834,23.080462730622635,23.080462730622635,16588000
2020-04-28,23.1136474609375,24.133432442878235,23.060389142003253,23.943968317195225,18988000
2020-04-29,24.09937286376953,24.184063906822242,23.5065372277113,23.66806071242916,28871000
2020-04-30,23.715211868286133,23.92737581308098,23.46899564532324,23.881974440834533,23379000
2020-05-01,22.674470901489258,23.386049891970206,22.543505862000398,23.224526398777638,26836000
2020-05-04,22.89798927307129,22.912832190873328,22.29205583878681,22.63169270627134,17046000
2020-05-05,23.125865936279297,23.481218300911546,23.024586723776828,23.272548184933953,26462000
2020-05-06,23.06561851501465,23.61567395842711,23.01672499387766,23.427956809598648,22727000
2020-05-07,23.3773193359375,23.61480432405566,23.22452706304878,23.57376773344505,18238000
2020-05-08,24.012941360473633,24.05834273625783,23.57639005454353,23.765852495322903,16757000
2020-05-11,24.04524803161621,24.16224280207458,23.726564095562235,23.868007299207317,20851000
2020-05-12,23.438434600830078,24.2478006095335,23.418354283693887,24.148268316068922,18764000
2020-05-13,22.975688934326172,23.602576784819963,22.644783394962907,23.579875270954684,21927000
2020-05-14,23.276912689208984,23.30747114371049,22.24228668533158,22.78448359497539,19912000
2020-05-15,22.736465454101562,23.05514770785826,22.41865582334786,22.650027482783706,21650000
2020-05-18,23.88197135925293,24.161363870776626,23.39914448914893,23.453277079686025,26531000
2020-05-19,23.744022369384766,24.100249017604384,23.714336537814653,23.881973391240763,18702000
2020-05-20,24.331619262695312,24.561245634869657,24.104612424370394,24.182319155763984,18605000
2020-05-21,23.99285888671875,24.403218171753803,23.9797628807065,24.352577728362824,14847000
2020-05-22,24.15437889099121,24.20676456912853,23.618293733276914,23.900305770793658,17452000
2020-05-26,24.62324333190918,25.065906397168213,24.568238098755526,24.88342824312507,23573000
2020-05-27,25.109554290771484,25.127889362470412,24.446868845129913,24.710545827641273,22812000
2020-05-28,24.721023559570312,25.258855687479077,24.659034027893906,24.88342134460201,18543000
2020-05-29,25.430862426757812,25.49459888233086,24.61363760013895,24.7000755779959,27300000
2020-06-01,25.31909942626953,25.41601385533379,25.090345669413686,25.356642193621663,18444000
2020-06-02,26.023696899414062,26.04639842054047,25.327834992627363,25.40990652033222,31847000
2020-06-03,27.025142669677734,27.140392180537827,26.2376054556744,26.284752074493003,31926000
2020-06-04,26.96926498413086,27.328109524275796,26.37642759847788,26.695111499079207,34997000
